hour;h_load_kw
4963;85.1955666666667
4964;86.2917666666667
4965;87.3501666666667
4966;87.7875666666667
4967;88.0575666666667
4968;88.2195666666667
4969;84.6393666666667
4970;78.1053666666667
4971;73.2291666666667
4972;73.2291666666667
4973;73.2291666666667
4974;73.2291666666667
4975;73.2291666666667
4976;73.2291666666667
4977;73.2291666666667
4978;73.2291666666667
4979;73.2291666666667
4980;73.2291666666667
4981;73.2291666666667
4982;77.5437666666667
4983;79.6065666666667
4984;81.3129666666667
4985;82.7331666666667
4986;83.7321666666667
4987;84.7203666666667
4988;85.6923666666667
4989;86.5833666666667
4990;87.3285666666667
4991;88.0683666666667
4992;88.5597666666667
4993;83.3055666666667
4994;73.9149666666667
4995;73.2291666666667
4996;73.2291666666667
4997;73.2291666666667
4998;73.2291666666667
4999;73.2291666666667
5000;73.2291666666667
5001;73.2291666666667
5002;73.2291666666667
5003;73.2291666666667
5004;73.2291666666667
5005;73.2291666666667
5006;76.2261666666667
5007;78.2943666666667
5008;79.8927666666667
5009;81.3723666666667
5010;82.7061666666667
5011;83.7753666666667
5012;84.5151666666667
5013;85.2495666666667
5014;86.1351666666667
5015;86.9343666666667
5016;87.2313666666667
5017;82.0797666666667
5018;73.9041666666667
5019;73.2291666666667
5020;73.2291666666667
5021;73.2291666666667
5022;73.2291666666667
5023;73.2291666666667
5024;73.2291666666667
5025;73.2291666666667
5026;73.2291666666667
5027;73.2291666666667
5028;73.2291666666667
5029;73.2291666666667
5030;74.4549666666667
5031;76.3017666666667
5032;77.9325666666667
5033;79.4715666666667
5034;81.0159666666667
5035;82.2957666666667
5036;83.6349666666667
5037;84.8283666666667
5038;85.7463666666667
5039;86.5887666666667
5040;87.5175666666667
5041;83.4729666666667
5042;76.6419666666667
5043;73.2291666666667
5044;73.2291666666667
5045;73.2291666666667
5046;73.2291666666667
5047;73.2291666666667
5048;73.2291666666667
5049;73.2291666666667
5050;73.2291666666667
5051;73.2291666666667
5052;73.2291666666667
5053;73.2291666666667
5054;74.9463666666667
5055;76.6743666666667
5056;78.2781666666667
5057;80.3085666666667
5058;81.7881666666667
5059;83.1057666666667
5060;84.3747666666667
5061;85.4709666666667
5062;86.4591666666667
5063;87.5715666666667
5064;88.3491666666667
5065;85.0011666666667
5066;80.3895666666667
5067;74.7249666666667
5068;73.2291666666667
5069;73.2291666666667
5070;73.2291666666667
5071;73.2291666666667
5072;73.2291666666667
5073;73.2291666666667
5074;73.2291666666667
5075;73.2291666666667
5076;73.2291666666667
5077;74.1363666666667
5078;79.5687666666667
5079;81.7287666666667
5080;83.3487666666667
5081;84.8013666666667
5082;85.9947666666667
5083;87.0855666666667
5084;88.1331666666667
5085;89.1375666666667
5086;90.0771666666667
5087;91.1193666666667
5088;91.9671666666667
5089;87.9603666666667
5090;80.6055666666667
5091;73.3263666666667
5092;73.2291666666667
5093;73.2291666666667
5094;73.2291666666667
5095;73.2291666666667
5096;73.2291666666667
5097;73.2291666666667
5098;73.2291666666667
5099;73.2291666666667
5100;73.2291666666667
5101;74.5305666666667
5102;79.6551666666667
5103;81.0591666666667
5104;82.5873666666667
5105;84.3585666666667
5106;86.1513666666667
5107;87.7605666666667
5108;88.9971666666667
5109;89.8395666666667
5110;90.4173666666667
5111;90.7251666666667
5112;90.9303666666667
5113;86.9343666666667
5114;78.4023666666667
5115;73.2291666666667
5116;73.2291666666667
5117;73.2291666666667
5118;73.2291666666667
5119;73.2291666666667
5120;73.2291666666667
5121;73.2291666666667
5122;73.2291666666667
5123;73.2291666666667
5124;73.2291666666667
5125;73.2291666666667
5126;77.1009666666667
5127;78.6669666666667
5128;80.4165666666667
5129;82.2147666666667
5130;83.9427666666667
5131;85.3197666666667
5132;86.5833666666667
5133;87.3825666666667
5134;87.8469666666667
5135;88.0197666666667
5136;88.0791666666667
5137;84.2397666666667
5138;76.0911666666667
5139;73.2291666666667
5140;73.2291666666667
5141;73.2291666666667
5142;73.2291666666667
5143;73.2291666666667
5144;73.2291666666667
5145;73.2291666666667
5146;73.2291666666667
5147;73.2291666666667
5148;73.2291666666667
5149;73.2291666666667
5150;73.2291666666667
5151;74.5683666666667
5152;76.3233666666667
5153;78.1323666666667
5154;79.9143666666667
5155;81.4317666666667
5156;82.6629666666667
5157;84.0939666666667
5158;85.2171666666667
5159;86.0703666666667
5160;86.7183666666667
5161;83.3703666666667
5162;76.3773666666667
5163;73.2291666666667
5164;73.2291666666667
5165;73.2291666666667
5166;73.2291666666667
5167;73.2291666666667
5168;73.2291666666667
5169;73.2291666666667
5170;73.2291666666667
5171;73.2291666666667
5172;73.2291666666667
5173;73.2291666666667
5174;73.2291666666667
5175;73.8609666666667
5176;75.1353666666667
5177;76.8687666666667
5178;78.6777666666667
5179;80.2761666666667
5180;81.7233666666667
5181;82.9545666666667
5182;84.0939666666667
5183;84.9093666666667
5184;85.5789666666667
5185;82.3875666666667
5186;75.3459666666667
5187;73.2291666666667
5188;73.2291666666667
5189;73.2291666666667
5190;73.2291666666667
5191;73.2291666666667
5192;73.2291666666667
5193;73.2291666666667
5194;73.2291666666667
5195;73.2291666666667
5196;73.2291666666667
5197;73.2291666666667
5198;73.2291666666667
5199;74.1201666666667
5200;75.3351666666667
5201;76.4691666666667
5202;77.7219666666667
5203;79.0449666666667
5204;80.4273666666667
5205;81.7557666666667
5206;82.9221666666667
5207;83.8185666666667
5208;84.2775666666667
5209;81.8475666666667
5210;76.7769666666667
5211;73.2291666666667
5212;73.2291666666667
5213;73.2291666666667
5214;73.2291666666667
5215;73.2291666666667
5216;73.2291666666667
5217;73.2291666666667
5218;73.2291666666667
5219;73.2291666666667
5220;73.2291666666667
5221;73.2291666666667
5222;73.2291666666667
5223;75.4755666666667
5224;77.4141666666667
5225;79.2879666666667
5226;80.8053666666667
5227;82.2255666666667
5228;83.6079666666667
5229;84.9039666666667
5230;85.7139666666667
5231;86.0865666666667
5232;86.5023666666667
5233;80.8485666666667
5234;73.2291666666667
5235;73.2291666666667
5236;73.2291666666667
5237;73.2291666666667
5238;73.2291666666667
5239;73.2291666666667
5240;73.2291666666667
5241;73.2291666666667
5242;73.2291666666667
5243;73.2291666666667
5244;73.2291666666667
5245;73.2291666666667
5246;73.2291666666667
5247;74.1471666666667
5248;75.6051666666667
5249;76.9983666666667
5250;78.3051666666667
5251;80.0385666666667
5252;81.8097666666667
5253;83.2569666666667
5254;84.1047666666667
5255;84.3747666666667
5256;84.9579666666667
5257;80.4489666666667
5258;73.2291666666667
5259;73.2291666666667
5260;73.2291666666667
5261;73.2291666666667
5262;73.2291666666667
5263;73.2291666666667
5264;73.2291666666667
5265;73.2291666666667
5266;73.2291666666667
5267;73.2291666666667
5268;73.2291666666667
5269;73.6773666666667
5270;78.3591666666667
5271;80.6757666666667
5272;82.8303666666667
5273;84.4989666666667
5274;85.6545666666667
5275;86.7669666666667
5276;87.6687666666667
5277;88.1493666666667
5278;88.7325666666667
5279;89.2995666666667
5280;89.6883666666667
5281;86.3673666666667
5282;78.6345666666667
5283;73.2291666666667
5284;73.2291666666667
5285;73.2291666666667
5286;73.2291666666667
5287;73.2291666666667
5288;73.2291666666667
5289;73.2291666666667
5290;73.2291666666667
5291;73.2291666666667
5292;73.2291666666667
5293;73.2291666666667
5294;75.8751666666667
5295;77.2251666666667
5296;77.2251666666667
5297;80.0925666666667
5298;81.3561666666667
5299;82.4685666666667
5300;83.7159666666667
5301;85.0119666666667
5302;86.1999666666667
5303;87.0153666666667
5304;87.5985666666667
5305;83.8239666666667
5306;76.5501666666667
5307;73.2291666666667
5308;73.2291666666667
5309;73.2291666666667
5310;73.2291666666667
5311;73.2291666666667
5312;73.2291666666667
5313;73.2291666666667
5314;73.2291666666667
5315;73.2291666666667
5316;73.2291666666667
5317;73.2291666666667
5318;73.4127666666667
5319;74.9625666666667
5320;76.4853666666667
5321;78.0945666666667
5322;79.8819666666667
5323;81.3831666666667
5324;82.8573666666667
5325;82.8951666666667
5326;85.0875666666667
5327;85.9839666666667
5328;86.7777666666667
5329;83.7321666666667
5330;76.3557666666667
5331;73.2291666666667
5332;73.2291666666667
5333;73.2291666666667
5334;73.2291666666667
5335;73.2291666666667
5336;73.2291666666667
5337;73.2291666666667
5338;73.2291666666667
5339;73.2291666666667
5340;73.2291666666667
5341;73.2291666666667
5342;74.8707666666667
5343;76.5447666666667
5344;78.1431666666667
5345;79.8765666666667
5346;81.5505666666667
5347;83.0409666666667
5348;84.3639666666667
5349;85.6653666666667
5350;86.3619666666667
5351;86.6427666666667
5352;86.8209666666667
5353;83.0085666666667
5354;73.2291666666667
5355;73.2291666666667
5356;73.2291666666667
5357;73.2291666666667
5358;73.2291666666667
5359;73.2291666666667
5360;73.2291666666667
5361;73.2291666666667
5362;73.2291666666667
5363;73.2291666666667
5364;73.2291666666667
5365;73.2291666666667
5366;73.2291666666667
5367;73.3263666666667
5368;75.5457666666667
5369;77.4681666666667
5370;79.0287666666667
5371;80.2383666666667
5372;81.2643666666667
5373;82.3713666666667
5374;82.7871666666667
5375;82.9815666666667
5376;83.0571666666667
5377;79.2123666666667
5378;73.2291666666667
5379;73.2291666666667
5380;73.2291666666667
5381;73.2291666666667
5382;73.2291666666667
5383;73.2291666666667
5384;73.2291666666667
5385;73.2291666666667
5386;73.2291666666667
5387;73.2291666666667
5388;73.2291666666667
5389;73.2291666666667
5390;75.5619666666667
5391;78.0621666666667
5392;80.6487666666667
5393;82.7709666666667
5394;84.2343666666667
5395;85.5195666666667
5396;86.7399666666667
5397;87.4743666666667
5398;88.1385666666667
5399;89.4723666666667
5400;90.8763666666667
5401;87.8739666666667
5402;78.6345666666667
5403;73.2291666666667
5404;73.2291666666667
5405;73.2291666666667
5406;73.2291666666667
