hour;wind_capacity_factor
1301;0.401
1302;1.385
1303;2.367
1304;3.397
1305;4.111
1306;1.545
1307;0.111
1308;0.026
1309;0.011
1310;0
1311;0
1312;0.001
1313;0.001
1314;0.005
1315;0.007
1316;0.004
1317;0.004
1318;0.051
1319;0.071
1320;0.014
1321;0.01
1322;0.077
1323;0.079
1324;0.01
1325;0.465
1326;1.641
1327;3.344
1328;4.918
1329;5.918
1330;6.302
1331;4.936
1332;1.093
1333;0.274
1334;0.137
1335;0.044
1336;0.015
1337;0.007
1338;0.014
1339;0.029
1340;0.08
1341;0.163
1342;0.212
1343;0.163
1344;0.112
1345;0.046
1346;0.004
1347;0
1348;0.025
1349;0.068
1350;0.077
1351;0.188
1352;0.542
1353;1.238
1354;2.774
1355;3.383
1356;0.766
1357;0.172
1358;0.033
1359;0.004
1360;0
1361;0.001
1362;0.008
1363;0.057
1364;0.263
1365;0.368
1366;0.081
1367;0.284
1368;1.83
1369;3.514
1370;3.999
1371;3.846
1372;3.803
1373;5.064
1374;11.153
1375;18.159
1376;20.979
1377;21.595
1378;19.628
1379;14.867
1380;6.719
1381;3.584
1382;4.867
1383;4.232
1384;2.891
1385;1.839
1386;0.918
1387;0.207
1388;0.02
1389;0.008
1390;0.008
1391;0.006
1392;0.003
1393;0.002
1394;0.002
1395;0.019
1396;0.073
1397;0.091
1398;0.115
1399;0.317
1400;1.198
1401;2.703
1402;3.193
1403;2.3
1404;0.431
1405;0.042
1406;0.014
1407;0.017
1408;0.033
1409;0.062
1410;0.072
1411;0.079
1412;0.088
1413;0.118
1414;0.138
1415;0.158
1416;0.177
1417;0.168
1418;0.085
1419;0.027
1420;0.206
1421;1.113
1422;1.496
1423;0.947
1424;1.259
1425;1.439
1426;0.947
1427;0.994
1428;0.223
1429;0.024
1430;0.003
1431;0.002
1432;0.002
1433;0.003
1434;0.006
1435;0.008
1436;0.025
1437;0.042
1438;0.04
1439;0.011
1440;0.001
1441;0.005
1442;0.007
1443;0.012
1444;0
1445;0.014
1446;0.006
1447;0.021
